date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:23	135211/135211	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2014%20Jan%202019%2013:40:22%20GMT	https://osircourier.com/app/js/plugins/plugins.js	C:/My%20Web%20Sites/osircourier/osircourier.com/app/js/plugins/plugins.js	(from https://osircourier.com/app/)
10:12:23	3432/3432	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2030%20Sep%202020%2022:04:40%20GMT	https://osircourier.com/app/js/responsive-btn-1.js	C:/My%20Web%20Sites/osircourier/osircourier.com/app/js/responsive-btn-1.js	(from https://osircourier.com/app/)
10:12:24	140421/140421	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Jun%202021%2008:32:28%20GMT	https://osircourier.com/app/css/bootstrap.min.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/bootstrap.min.css	(from https://osircourier.com/app/style.css)
10:12:24	2941/2941	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/css/owl.carousel.min.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/owl.carousel.min.css	(from https://osircourier.com/app/style.css)
10:12:24	5599/5599	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/css/magnific-popup.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/magnific-popup.css	(from https://osircourier.com/app/style.css)
10:12:25	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/css/font-awesome.min.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/font-awesome.min.css	(from https://osircourier.com/app/style.css)
10:12:25	2619/2619	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/css/custom-icon.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/custom-icon.css	(from https://osircourier.com/app/style.css)
10:12:25	22814/22814	---M-Z	200	added ('OK')	text/css	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/css/classy-nav.min.css	C:/My%20Web%20Sites/osircourier/osircourier.com/app/css/classy-nav.min.css	(from https://osircourier.com/app/style.css)
10:12:26	10373/10373	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Jun%202022%2008:12:26%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont-1.eot	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont-1.eot	(from https://osircourier.com/app/css/font-awesome.css)
10:12:27	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Jan%202019%2013:40:18%20GMT	https://osircourier.com/app/fonts/fontawesome-webfont.eot	C:/My%20Web%20Sites/osircourier/osircourier.com/app/fonts/fontawesome-webfont.eot	(from https://osircourier.com/app/css/font-awesome.css)
